REF_DATE,province,Immigrants,Net emigration,Net non-permanent residents
1976,Prince Edward Island,235.0,43.0,-1.0
1976,Quebec,29282.0,4666.0,-453.0
1976,Saskatchewan,2323.0,491.0,-46.0
1976,Yukon,73.0,40.0,0.0
1977,Alberta,12694.0,3991.0,-143.0
1977,British Columbia,15395.0,3954.0,-217.0
1977,Manitoba,5058.0,1029.0,-73.0
1977,New Brunswick,1158.0,485.0,-6.0
1977,Newfoundland and Labrador,583.0,190.0,-5.0
1977,Northwest Territories including Nunavut,122.0,14.0,-5.0
1977,Nova Scotia,1587.0,259.0,-65.0
1977,Ontario,56594.0,13803.0,-1177.0
1977,Prince Edward Island,192.0,44.0,0.0
1977,Quebec,19248.0,4781.0,-260.0
1977,Saskatchewan,2231.0,514.0,-31.0
1977,Yukon,52.0,42.0,0.0
1978,Alberta,9826.0,4448.0,-224.0
1978,British Columbia,12331.0,4315.0,-317.0
1978,Manitoba,3574.0,1113.0,-102.0
1978,New Brunswick,661.0,524.0,-19.0
1978,Newfoundland and Labrador,374.0,202.0,-14.0
1978,Northwest Territories including Nunavut,114.0,17.0,-5.0
1978,Nova Scotia,980.0,281.0,-82.0
1978,Ontario,42397.0,14976.0,-1690.0
1978,Prince Edward Island,145.0,46.0,0.0
1978,Quebec,14290.0,5165.0,-471.0
1978,Saskatchewan,1564.0,558.0,-46.0
1978,Yukon,57.0,47.0,0.0
1979,Alberta,12786.0,3560.0,665.0
1979,British Columbia,16596.0,3375.0,791.0
1979,Manitoba,4906.0,837.0,220.0
1979,New Brunswick,1145.0,401.0,109.0
1979,Newfoundland and Labrador,553.0,153.0,78.0
1979,Northwest Territories including Nunavut,139.0,13.0,-1.0
1979,Nova Scotia,1338.0,214.0,121.0
1979,Ontario,51979.0,11484.0,4024.0
1979,Prince Edward Island,289.0,35.0,6.0
1979,Quebec,19534.0,3956.0,1788.0
1979,Saskatchewan,2762.0,431.0,124.0
1979,Yukon,69.0,33.0,5.0
1980,Alberta,18889.0,2700.0,1237.0
1980,British Columbia,24503.0,2472.0,1491.0
1980,Manitoba,7713.0,598.0,423.0
1980,New Brunswick,1214.0,270.0,194.0
1980,Newfoundland and Labrador,541.0,107.0,138.0
1980,Northwest Territories including Nunavut,102.0,10.0,1.0
1980,Nova Scotia,1631.0,148.0,243.0
1980,Ontario,62386.0,8233.0,7625.0
1980,Prince Edward Island,190.0,29.0,10.0
1980,Quebec,22591.0,2731.0,3265.0
1980,Saskatchewan,3650.0,298.0,233.0
1980,Yukon,88.0,27.0,9.0
1981,Alberta,19369.0,4120.0,2473.0
1981,British Columbia,22102.0,3227.0,3268.0
1981,Manitoba,5378.0,974.0,739.0
1981,New Brunswick,992.0,607.0,391.0
1981,Newfoundland and Labrador,483.0,186.0,51.0
1981,Northwest Territories including Nunavut,82.0,9.0,43.0
1981,Nova Scotia,1408.0,286.0,590.0
1981,Ontario,55087.0,10984.0,17549.0
1981,Prince Edward Island,126.0,35.0,37.0
1981,Quebec,21213.0,3642.0,4805.0
1981,Saskatchewan,2435.0,489.0,302.0
1981,Yukon,119.0,45.0,33.0
1982,Alberta,17970.0,5090.0,-425.0
1982,British Columbia,19024.0,4200.0,-649.0
1982,Manitoba,4941.0,918.0,155.0
1982,New Brunswick,751.0,619.0,-196.0
1982,Newfoundland and Labrador,406.0,249.0,128.0
1982,Northwest Territories including Nunavut,111.0,47.0,28.0
1982,Nova Scotia,1254.0,250.0,170.0
1982,Ontario,53115.0,14290.0,-86.0
1982,Prince Edward Island,165.0,35.0,-37.0
1982,Quebec,21387.0,4715.0,-2753.0
1982,Saskatchewan,2138.0,586.0,-27.0
1982,Yukon,69.0,55.0,-35.0
1983,Alberta,10725.0,5157.0,0.0
1983,British Columbia,14483.0,4389.0,545.0
1983,Manitoba,3987.0,1103.0,423.0
1983,New Brunswick,554.0,429.0,-39.0
1983,Newfoundland and Labrador,276.0,301.0,-197.0
1983,Northwest Territories including Nunavut,59.0,24.0,-14.0
1983,Nova Scotia,833.0,272.0,223.0
1983,Ontario,40121.0,14285.0,1729.0
1983,Prince Edward Island,107.0,63.0,12.0
1983,Quebec,16416.0,5098.0,1598.0
1983,Saskatchewan,1743.0,648.0,98.0
1983,Yukon,73.0,34.0,-9.0
1984,Alberta,10740.0,4403.0,221.0
1984,British Columbia,13231.0,4920.0,363.0
1984,Manitoba,3908.0,729.0,-173.0
1984,New Brunswick,601.0,425.0,-108.0
1984,Newfoundland and Labrador,299.0,254.0,96.0
1984,Northwest Territories including Nunavut,75.0,26.0,-8.0
1984,Nova Scotia,1035.0,217.0,27.0
1984,Ontario,41700.0,12875.0,-1551.0
1984,Prince Edward Island,109.0,48.0,-17.0
1984,Quebec,14698.0,4563.0,604.0
1984,Saskatchewan,2162.0,582.0,192.0
1984,Yukon,41.0,22.0,5.0
1985,Alberta,8989.0,4163.0,1248.0
1985,British Columbia,12256.0,4657.0,1775.0
1985,Manitoba,3412.0,846.0,-127.0
1985,New Brunswick,607.0,510.0,-26.0
1985,Newfoundland and Labrador,323.0,223.0,30.0
1985,Northwest Territories including Nunavut,71.0,53.0,-4.0
1985,Nova Scotia,973.0,264.0,-240.0
1985,Ontario,40774.0,11752.0,3445.0
1985,Prince Edward Island,113.0,43.0,0.0
1985,Quebec,14885.0,3522.0,4575.0
1985,Saskatchewan,1899.0,811.0,273.0
1985,Yukon,37.0,20.0,32.0
1986,Alberta,9673.0,4492.0,2459.0
1986,British Columbia,12556.0,4763.0,4497.0
1986,Manitoba,3749.0,1131.0,170.0
1986,New Brunswick,641.0,638.0,145.0
1986,Newfoundland and Labrador,274.0,317.0,179.0
1986,Northwest Territories including Nunavut,67.0,45.0,2.0
1986,Nova Scotia,1093.0,321.0,24.0
1986,Ontario,49735.0,13628.0,24706.0
1986,Prince Edward Island,168.0,38.0,62.0
1986,Quebec,19476.0,4298.0,13949.0
1986,Saskatchewan,1861.0,537.0,366.0
1986,Yukon,50.0,24.0,-22.0
1987,Alberta,11974.0,4675.0,4622.0
1987,British Columbia,18898.0,3668.0,5848.0
1987,Manitoba,4782.0,1281.0,80.0
1987,New Brunswick,641.0,565.0,146.0
1987,Newfoundland and Labrador,455.0,242.0,260.0
1987,Northwest Territories including Nunavut,72.0,52.0,4.0
1987,Nova Scotia,1225.0,361.0,295.0
1987,Ontario,84781.0,13243.0,22153.0
1987,Prince Edward Island,159.0,20.0,26.0
1987,Quebec,26846.0,4010.0,7090.0
1987,Saskatchewan,2118.0,706.0,360.0
1987,Yukon,80.0,42.0,15.0
1988,Alberta,14007.0,4123.0,4693.0
1988,British Columbia,23131.0,2902.0,8475.0
1988,Manitoba,4998.0,1126.0,666.0
1988,New Brunswick,675.0,557.0,607.0
1988,Newfoundland and Labrador,410.0,161.0,305.0
1988,Northwest Territories including Nunavut,75.0,28.0,69.0
1988,Nova Scotia,1298.0,275.0,804.0
1988,Ontario,88930.0,11185.0,69968.0
1988,Prince Edward Island,152.0,47.0,25.0
1988,Quebec,25588.0,3506.0,22904.0
1988,Saskatchewan,2201.0,600.0,402.0
1988,Yukon,69.0,24.0,-1.0
1989,Alberta,16173.0,4132.0,1880.0
1989,British Columbia,25292.0,3236.0,8986.0
1989,Manitoba,6122.0,1455.0,235.0
1989,New Brunswick,902.0,601.0,75.0
1989,Newfoundland and Labrador,466.0,135.0,364.0
1989,Northwest Territories including Nunavut,100.0,75.0,22.0
1989,Nova Scotia,1474.0,332.0,720.0
1989,Ontario,104638.0,12075.0,47620.0
1989,Prince Edward Island,158.0,46.0,32.0
1989,Quebec,33946.0,3909.0,7172.0
1989,Saskatchewan,2143.0,683.0,220.0
1989,Yukon,102.0,27.0,30.0
1990,Alberta,19087.0,4043.0,-399.0
1990,British Columbia,29140.0,3347.0,2792.0
1990,Manitoba,6669.0,1135.0,150.0
1990,New Brunswick,855.0,596.0,-103.0
1990,Newfoundland and Labrador,553.0,122.0,-50.0
1990,Northwest Territories including Nunavut,84.0,68.0,73.0
1990,Nova Scotia,1572.0,465.0,-151.0
1990,Ontario,114770.0,10997.0,-5993.0
1990,Prince Edward Island,176.0,12.0,-4.0
1990,Quebec,41043.0,3593.0,-7377.0
1990,Saskatchewan,2385.0,598.0,111.0
1990,Yukon,90.0,35.0,0.0
1991,Alberta,17061.0,7122.0,-5532.0
1991,British Columbia,32382.0,5684.0,-5424.0
1991,Manitoba,5661.0,1632.0,-290.0
1991,New Brunswick,689.0,648.0,-112.0
1991,Newfoundland and Labrador,639.0,263.0,1024.0
1991,Northwest Territories,64.0,20.0,-18.0
1991,Northwest Territories including Nunavut,56.0,22.0,8.0
1991,Nova Scotia,1500.0,794.0,-654.0
1991,Nunavut,6.0,6.0,-3.0
1991,Ontario,120075.0,19573.0,-29824.0
1991,Prince Edward Island,151.0,85.0,-20.0
1991,Quebec,51947.0,6667.0,-13374.0
1991,Saskatchewan,2458.0,818.0,-475.0
1991,Yukon,87.0,62.0,33.0
1992,Alberta,17798.0,7242.0,-1556.0
1992,British Columbia,37037.0,6841.0,-719.0
1992,Manitoba,5101.0,1874.0,-392.0
1992,New Brunswick,756.0,813.0,-167.0
1992,Newfoundland and Labrador,789.0,231.0,2093.0
1992,Northwest Territories,94.0,48.0,-66.0
1992,Nova Scotia,2362.0,752.0,-192.0
1992,Nunavut,19.0,20.0,-12.0
