"REF_DATE","GEO","DGUID","Estimate","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-02","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2016-03","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2016-04","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2016-05","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2016-06","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2016-07","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2016-08","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2016-09","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2016-10","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2016-11","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2016-12","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2017-01","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2017-02","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2017-03","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2017-04","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2017-05","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2017-06","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2017-07","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2017-08","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2017-09","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2017-10","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2017-11","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2017-12","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2018-01","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2018-02","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2018-03","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2018-04","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2018-05","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2018-06","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2018-07","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2018-08","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2018-09","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2018-10","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2018-11","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2018-12","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2019-01","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2019-02","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
"2019-03","Canada","2021A000011124","Average weekly earnings including overtime for all employees","Industrial aggregate including unclassified businesses [00-91N]","Dollars","81","units","0","v1544290282","1.2.1","","..","","","2"
